title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Lottie’s Toadstool Cake,Lottie,10-12,Needs skill,1 hr,48 mins per cake,"[<h5>For the toadstool cap:</h5>, <p>250g full-fat cream cheese </p>, <p>4 large eggs, separated</p>, <p>140g caster sugar</p>, <p>60g unsalted butter, at room temperature</p>, <p>50ml whole milk</p>, <p>50ml double cream</p>, <p>Pinch of salt</p>, <p>Finely grated zest and juice of 1 unwaxed lime</p>, <p>60g plain flour</p>, <p>20g cornflour</p>, <p>Pinch of cream of tartar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/toadstool_forweb_GBBO_S11E06-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Lottie1-100x100.jpg
Marc’s Hamish The Dog Cake,Marc,10-12,Needs skill,2 hrs 30 mins,1 hr 10 mins,"[<h5>For the ginger &amp; kinako chiffon cake:</h5>, <p>4 egg yolks</p>, <p>25g unsalted butter, melted</p>, <p>3 tbsp sunflower oil</p>, <p>85g buttermilk</p>, <p>½ tsp brown food-colouring paste</p>, <p>130g caster sugar</p>, <p>2 egg whites</p>, <p>Pinch of cream of tartar</p>, <p>105g plain flour</p>, <p>½ tsp baking powder </p>, <p>¼ tsp bicarbonate of soda </p>, <p>2 tsp ground ginger</p>, <p>4 tsp kinako powder (or use spelt flour)</p>, <p>Pinch of salt</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201009_027A_HamishTheDog-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Marc-100x100.jpg
Laura’s Upside Down Pineapple Cake,Laura,8-10,Needs skill,2 hrs,25 mins x 2,"[<h5>For the sponges (make this twice):</h5>, <p>4 eggs, separated</p>, <p>130g caster sugar</p>, <p>50ml pure pineapple juice </p>, <p>50ml sunflower oil </p>, <p>1 tsp vanilla extract</p>, <p>140g plain flour </p>, <p>½ tsp baking powder</p>, <p>Pinch of cream of tartar</p>, <p>Pinch of salt</p>, <p>100g pineapple, peeled, cored and finely chopped, for the filling </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201009_029B_UpsidedownPinappleCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Peter’s Blackberry & Lemon Tart,Peter,8,Needs skill,1 hr 45 mins,45 mins,"[<h5>For the hazelnut pastry:</h5>, <p>50g blanched hazelnuts</p>, <p>150g plain flour, plus extra for dusting</p>, <p>100g unsalted butter, cubed and diced</p>, <p>75g icing sugar, sifted</p>, <p>½ tsp salt</p>, <p>1 large egg, separated</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201008_025B_BlackberryLemonTart-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
Peter’s Mango & Coconut Celebration Cake,Peter,8-10,Needs skill,2 hrs,25 mins,"[<h5>For the sponge:</h5>, <p>150g unsalted butter, softened</p>, <p>225g caster sugar</p>, <p>3 egg whites </p>, <p>200ml full-fat coconut milk</p>, <p>75g coconut yoghurt</p>, <p>2 tsp vanilla extract</p>, <p>225g gluten-free self-raising flour</p>, <p>1 tsp gluten-free baking powder</p>, <p>½ tsp salt</p>, <p>75g desiccated coconut</p>, <p>75g white chocolate, chopped</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200905_016B_GraduationCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
Hermine’s Lemon & White Chocolate Cake,Hermine,10-12,Needs skill,2 hrs,20 mins,"[<h5>For the sponge:</h5>, <p>100g white chocolate, chopped</p>, <p>200g caster sugar</p>, <p>6 eggs </p>, <p>2 tsp vanilla extract</p>, <p>200g plain flour</p>, <p>2 tsp baking powder</p>, <p>½ tsp salt</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200905_020B_LemonWhiteChocCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-100x100.jpg
"Sura’s Tear-and-Share Tomato, Olive & Garlic Rolls",Sura,20 - 30 small rolls,Easy,"1 hr, plus rising",30 mins,"[<p>500g strong white bread flour, plus extra for dusting</p>, <p>7g fast-action dried yeast</p>, <p>10g sea-salt flakes</p>, <p>½ tsp caster sugar</p>, <p>325ml lukewarm water</p>, <p>1 tbsp olive oil, plus extra for greasing</p>, <p>75g pitted green olives, drained and finely chopped</p>, <p>1 tsp spinach or spirulina powder</p>, <p>2–3 tsp sun-dried tomato paste</p>, <p>½ tsp beetroot powder</p>, <p>½ tsp garlic or onion granules </p>, <p>100g feta, crumbled</p>, <p>1 egg</p>, <p>1 tbsp whole milk</p>, <p>2 tsp sesame seeds</p>, <p>2 tsp poppy seeds</p>, <p>1 tsp dried oregano</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200904_013C_TomatoVineLoaf.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Sura-100x100.jpg
Marc’s Three-bread Twisted loaf,Marc,1 large loaf,Needs skill,1 hour,30 mins,"[<h5>For the starter (tangzhong):</h5>, <p>60ml whole milk</p>, <p>15g strong white bread flour</p>, <p>20g spelt flour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200904_015B_DharmaWheelBread.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Marc-100x100.jpg
Dave’s ‘Waiting for Tacos’,Dave,20,Needs skill,2 hrs,"12 mins, plus 6 mins for glazing","[<h5>For the biscuits:</h5>, <p>100g unsalted butter, at room temperature</p>, <p>75g golden caster sugar</p>, <p>1 egg, lightly beaten</p>, <p>2 tsp instant espresso powder dissolved in 2 tsp boiling water</p>, <p>60g golden syrup</p>, <p>300g plain flour, plus extra for dusting</p>, <p>30g cocoa powder</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/200903_007B_WaitingForTacos-1-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
Linda’s ‘High Tea in Amsterdam’,Linda,20,Needs skill,2 hrs,12 mins,"[<h5>For the cookies:</h5>, <p>230g plain flour, plus extra for dusting </p>, <p>Pinch of fine sea salt</p>, <p>120g unsalted butter, cubed and chilled</p>, <p>75g icing sugar, sifted</p>, <p>2 tsp rose water</p>, <p>2 large egg yolks</p>, <p>Pearl or silver lustre spray, to decorate </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/200904_012B_HighTeaInAmsterdam-1.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Linda-100x100.jpg
Rowan’s Chocolate & Cherry tribute to Marie Antoinette,Rowan,10-11,Needs skill,1 hr,20 mins,"[<h5>For the sponge:</h5>, <p>130g unsalted butter<br/>
4 large eggs<br/>
250g caster sugar<br/>
210g self-raising flour<br/>
40g cocoa powder<br/>
Pinch of salt<br/>
80g dried morello cherries, soaked for 2–3 hours in 2 tbsp kirsch </p>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Marie-Antoinette-Cake.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Rowan-100x100.jpg
Loriea’s A Slice of Jamaica,Loriea,10-12,Needs skill,2 hrs,20 mins,"[<h5>For the cake:</h5>, <p>50g 70% dark chocolate, chopped<br/>
75ml whole milk<br/>
1 tsp instant espresso powder<br/>
250g unsalted butter, softened<br/>
250g caster sugar<br/>
4 large eggs, lightly beaten<br/>
250g self-raising flour<br/>
35g cocoa powder<br/>
½ tsp hot chilli powder<br/>
¼ tsp bicarbonate of soda<br/>
¼ tsp baking powder<br/>
75ml buttermilk</p>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Slice-of-Jamaica-Cake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Loriea-100x100.jpg
Linda’s Citrus Tribute to Bob Marley,Linda,12+,Needs skill,2 hrs,40 mins,"[<h5>For the lemon curd:</h5>, <p>125g golden caster sugar<br/>
2 large eggs<br/>
2 large egg yolks<br/>
Juice and finely grated zest of 2 unwaxed lemons<br/>
75g unsalted butter, cubed</p>, <br/>, <br/>, <br/>, <br/>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Bob-Marley-Cake.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Linda-100x100.jpg
Briony’s Santa’s Train Station,Briony,20,Needs skill,about 6 hrs,1 hr,"[<h5>For the gingerbread:</h5>, <p>1kg unsalted butter </p>, <p>800g dark muscovado sugar</p>, <p>12 tbsp golden syrup </p>, <p>9 tbsp ginger syrup (from a jar of stem ginger) </p>, <p>12 tbsp black treacle </p>, <p>4 chunks stem ginger, finely grated</p>, <p>2.7kg plain flour, sifted</p>, <p>40g ground ginger </p>, <p>4 tsp turmeric</p>, <p>2 tsp allspice</p>, <p>2 tsp cinnamon</p>, <p>2 tsp salt</p>, <p>5 clear boiled sweets (for windows) </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/01/Gingerbread_Train_1024_2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-100x100.jpg
Tom’s Christmas Tree Biscuits,Tom,16 (depending on cutter size),Easy,1 hr,13 mins,"[<h5>For the gingerbread:</h5>, <p>200g salted butter </p>, <p>60g black treacle</p>, <p>160g dark muscovado sugar </p>, <p>1 tbsp ground ginger </p>, <p>1 tsp ground cinnamon </p>, <p>1 tsp ground cardamom </p>, <p>½ tsp ground nutmeg </p>, <p>½ tsp orange essence </p>, <p>460g plain flour </p>, <p>¼ tsp baking powder </p>, <p>100g clear, coloured boiled sweets</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Christmas_Tree_Biscuits_1024_5-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Tom-890_l-100x100.jpg
David’s Cheese-board Cake,David,12,Needs skill,1 hr,45 mins,"[<h5>For the sponges:</h5>, <p>250g unsalted butter</p>, <p>400g caster sugar</p>, <p>30 drops of lemon spice or the finely grated zest of 4 unwaxed lemons </p>, <p>4 large eggs, beaten</p>, <p>400g plain flour, sifted</p>, <p>½ tsp bicarbonate of soda</p>, <p>½ tsp baking powder</p>, <p>pinch of salt</p>, <p>200ml buttermilk</p>, <p>2 tbsp lemon juice</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Cheese_Board_Cake_1024x450_2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-David-1080-100x100.jpg
Alice’s Orange & Cardamom ‘Ice Cream’ Buns,Alice,8,Easy,"45 mins, plus rising and proving",15 mins,"[<h5>For the dough:</h5>, <p>250g strong white bread flour, sifted</p>, <p>25g caster sugar</p>, <p>20g unsalted butter</p>, <p>7g fast-action dried yeast</p>, <p>finely grated zest of 1 unwaxed orange</p>, <p>2 tsp ground cardamom</p>, <p>1 large egg</p>, <p>1 tsp salt</p>, <p>75ml whole milk, warmed</p>, <p>50ml hand-hot water</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/icecreams_forweb.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-100x100.jpg
"Alice’s Save Our Oceans – Lemon, Honey, White Chocolate & Raspberry Cake",Alice,20,Challenging,"2 hrs 30 mins, plus chilling",12 mins,"[<h5>For the lemon &amp; honey mousse:</h5>, <p>3 platinum-grade gelatine leaves</p>, <p>90g runny honey </p>, <p>finely grated zest of 2 unwaxed lemons and 1 tbsp juice</p>, <p>½ tsp vanilla paste</p>, <p>245ml double cream </p>, <p>70ml whole milk</p>, <p>3 large egg yolks</p>, <p>¼ tsp salt</p>, <p>1 tbsp caster sugar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/forweb_0004_BlueCakeCut.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-100x100.jpg
David’s Whitby Fish Pie,David,8,Needs skill,1 hr 45 mins,55 mins,"[<h5>For the pie filling:</h5>, <p>1 tbsp olive oil</p>, <p>1 onion, finely chopped</p>, <p>1½ tsp ground cardamom</p>, <p>2 tsp black onion seeds</p>, <p>2 tsp mustard seeds</p>, <p>4 garlic cloves, crushed </p>, <p>150g carrots, peeled and very finely sliced with a mandolin</p>, <p>160g parsnip peeled and very finely sliced with a mandolin</p>, <p>7 Charlotte potatoes and very finely sliced with a mandolin</p>, <p>300g peeled and deseeded butternut squash, very finely sliced with a mandolin</p>, <p>2 tsp vegetable stock or bouillon powder </p>, <p>140g mature Cheddar cheese, grated</p>, <p>20g flat-leaf parsley, finely chopped</p>, <p>300g cold-smoked, cooked salmon</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Whitby_Fish_Pie_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-David-1080-100x100.jpg
"Alice’s Chocolate, Almond, Orange & Salted Caramel Kaleidoscope Kek Lapis Sarawak",Alice,20,Challenging,2 hrs 30 mins,1 hr 20 mins,"[<h5>For the rainbow layers:</h5>, <p>500g unsalted butter </p>, <p>600g caster sugar </p>, <p>18 egg yolks </p>, <p>finely grated zest of 2 unwaxed oranges and 1 tbsp orange juice</p>, <p>1 tsp cinnamon</p>, <p>2 tsp almond essence</p>, <p>400g plain flour, sifted </p>, <p>11 egg whites </p>, <p>pink, orange, green, blue and purple food-colouring gel </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/forweb_0000_TetrisCake.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-100x100.jpg
Steph’s “Cho-ffee” Lava Bombe,Steph,20,Challenging,"2 hrs 30 mins, plus freezing",10 mins,"[<h5>For the chocolate mousse:</h5>, <p>7 egg yolks </p>, <p>1 large egg</p>, <p>160g caster sugar </p>, <p>600ml double cream </p>, <p>150ml whipping cream </p>, <p>400g 70% dark chocolate, finely chopped</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Choffee_Bombe_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-100x100.jpg
Alice’s Pistachio Tiramisu Bombe,Alice,18–20,Challenging,"1 hr 45 mins, plus chilling",13 mins,"[<h5>For the sponge:</h5>, <p>6 large eggs</p>, <p>200g caster sugar</p>, <p>120g plain flour</p>, <p>1 tbsp cornflour</p>, <p>½ tsp baking powder</p>, <p>200ml strong espresso coffee</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/forweb_0001_LayeredCakedCut.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-100x100.jpg
Henry’s A White Russian,Henry,20,Needs skill,1 hr 45 mins,40 mins,"[<h5>For the sponge:</h5>, <p>450g unsalted butter, diced</p>, <p>800g golden caster sugar </p>, <p>300ml whole milk </p>, <p>5 tbsp instant coffee powder</p>, <p>8 eggs, beaten </p>, <p>620g self-raising flour, sifted</p>, <p>1 tsp baking powder</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/White-Russian-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-100x100.jpg
Steph’s Sour Lime Piña Colada,Steph,25,Needs skill,2 hrs,50 mins,"[<h5>For the coconut sponge:</h5>, <p>375g self-raising flour, sifted</p>, <p>375g unsalted butter, softened</p>, <p>375g caster sugar</p>, <p>6 large eggs </p>, <p>120g desiccated coconut </p>, <p>1 tsp baking powder </p>, <p>4½ tbsp coconut cream </p>, <p>1 tsp coconut essence </p>, <p>2 tbsp whole milk</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Pina-Colada-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-100x100.jpg
Alice’s Coffee & Walnut Ragsulla,Alice,4,Needs skill,30 mins,20 mins,"[<p>2 litres whole milk </p>, <p>4 tbsp lemon juice </p>, <p>25g icing sugar </p>, <p>50g plain flour </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Rasgulla-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-100x100.jpg
Helena’s Coconut Chocolate Ladoo,Helena,12,Needs skill,"30 mins, plus draining and chilling",20 mins,"[<p>1 litre whole milk</p>, <p>1 tbsp white wine vinegar </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Ladoo-1024x450-4.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Helena-1080-100x100.jpg
Steph’s Rosemary & Wholemeal Lily Loaf,Steph,1 large loaf,Needs skill,"30 mins, plus rising and proving",40 mins,"[<p>300g strong white bread flour, plus 1 tbsp for dusting</p>, <p>200g strong wholemeal bread flour </p>, <p>10g instant yeast </p>, <p>10g salt</p>, <p>1 tbsp dried rosemary</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Rosemary-Bread-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-100x100.jpg
Rosie’s Tomato & Basil Lion,Rosie,1 large loaf,Needs skill,"20 mins, plus rising and proving",40 mins,"[<h5>For the starter:</h5>, <p>100g strong white bread flour </p>, <p>100g rye flour </p>, <p>3g fast-action dried yeast</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Safari-Bread-1024x450-4.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
Alice’s Chocolate & Coconut New Zealand Lamb,Alice,12,Challenging,3 hrs,1 hr 15 mins,"[<h5>For the biscuit body:</h5>, <p>225g unsalted butter, softened</p>, <p>200g granulated sugar</p>, <p>115g light brown soft sugar</p>, <p>2 eggs, beaten</p>, <p>375g plain flour, sifted</p>, <p>65g cocoa powder</p>, <p>pinch of salt</p>, <p>½ tsp vanilla paste</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/NZLamb-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-100x100.jpg
Michelle’s Ty Tylwyth Teg (Fairy’s House),Michelle,30,Needs skill,3 hrs 30 mins,2 hrs,"[<h5>For the large, round sponges and the hemisphere sponge:</h5>, <p>180g sultanas</p>, <p>juice and finely grated zest of 2 large unwaxed oranges</p>, <p>720g caster sugar</p>, <p>9 large eggs</p>, <p>675g vegetable oil</p>, <p>560g carrots, finely grated</p>, <p>250g walnuts, finely ground</p>, <p>1¼ tsp salt</p>, <p>630g plain flour, sifted</p>, <p>4 tsp ground cinnamon</p>, <p>4 tsp mixed spice</p>, <p>2¼ tsp baking powder</p>, <p>2¼ tsp bicarbonate of soda</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Fairy-House-1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michelle-1080-100x100.jpg
Helena’s Away with the Fairies,Helena,20,Challenging,2 hrs,50 mins,"[<h5>For the sponge:</h5>, <p>450g plain flour, sifted</p>, <p>800g caster sugar, sifted</p>, <p>180g cocoa powder</p>, <p>4 tsp bicarbonate of soda</p>, <p>2 tsp baking powder</p>, <p>2 tsp salt</p>, <p>480ml buttermilk</p>, <p>240ml vegetable oil</p>, <p>4 large eggs</p>, <p>2 tsp vanilla extract</p>, <p>4 tbsp instant coffee, dissolved in 380ml hot water and cooled</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Fairy-Garden-1024x450-2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Helena-1080-100x100.jpg
Dan’s Pirate Island Cake,Dan,35,Challenging,3 hrs,1 hr,"[<h5>For the sponges:</h5>, <p>700g unsalted butter</p>, <p>700g caster sugar</p>, <p>14 eggs</p>, <p>700g self-raising flour, sifted</p>, <p>2 tsp baking powder</p>, <p>400g desiccated coconut</p>, <p>juice and finely grated zest of 4 unwaxed limes</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/Pirate-Cake-1024x450-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Dan-1080-100x100.jpg
