title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Lottie’s Cheeseburger Steamed Buns,Lottie,8,Needs skill,1 hr 45 mins,45 mins,"[<h5>For the dough:</h5>, <p>300g plain flour, plus extra for dusting</p>, <p>20g caster sugar </p>, <p>1 tsp instant dried yeast </p>, <p>1 tsp baking powder</p>, <p>1 tbsp vegetable oil</p>, <p>1 tsp fine salt</p>, <p>170ml lukewarm water</p>, <p>Green and red food-colouring gels </p>, <p>1 tbsp whole milk, for brushing</p>, <p>2 tbsp black and white sesame seeds, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201008_023_BurgerBaoBuns-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Lottie1-100x100.jpg
Dave’s Chicken Shaped Katsu Curry Buns,Dave,8,Needs skill,1 hr 45 mins,45 mins,"[<h5>For the bun dough:</h5>, <p>315g plain flour</p>, <p>23g caster sugar</p>, <p>½ tsp sea salt</p>, <p>¾ tsp baking powder</p>, <p>¾ tsp instant dried yeast </p>, <p>¾ tbsp vegetable oil </p>, <p>160–185ml lukewarm water </p>, <p>1½ tsp ground turmeric </p>, <p>Red, orange and black food-colouring gels </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201008_024_ChickenKatsuBaoBuns-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
Hermine’s Moroccan Tagine Pasties,Hermine,8 or 9,Easy,1 hr 30 mins,30 mins,"[<h5>For the filling:</h5>, <p>5 large garlic cloves, sliced</p>, <p>1 tsp ground ginger</p>, <p>1 tsp salt</p>, <p>½ tsp cayenne pepper</p>, <p>2 tsp paprika</p>, <p>½ tsp ground cinnamon</p>, <p>1 preserved lemon, roughly chopped</p>, <p>½ tsp ground turmeric</p>, <p>1 tbsp ground allspice</p>, <p>½ tsp ground cumin</p>, <p>¼ tsp ground cloves </p>, <p>3 tbsp olive oil</p>, <p>500g lean lamb, cut into 1cm cubes</p>, <p>1 tbsp cornflour</p>, <p>3 onions, finely chopped</p>, <p>1 large red pepper, deseeded and diced</p>, <p>150g drained chickpeas from a tin</p>, <p>50g raisins </p>, <p>1 tbsp chopped coriander </p>, <p>1 tbsp chopped parsley</p>, <p>1 lamb stock cube</p>, <p>1 tsp freshly ground black pepper</p>, <p>2 tsp clear honey</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201008_021_MorrocanTaginePasties-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-100x100.jpg
"Laura’s Proper Tasty Leek, Potato & Pancetta Pasties",Laura,8 or 9,Needs skill,2 hrs,35 mins,"[<h5>For the flaky pastry:</h5>, <p>360g unsalted butter, plus 180g cubed and chilled</p>, <p>900g plain flour</p>, <p>3 tsp salt</p>, <p>225ml ice-cold water, plus extra if needed</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/201008_022B_LeekPotatoPasties-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Mark’s Aloo Gobi & Paneer Pasties,Mark,10,Needs skill,1 hr 45 mins,40 mins,"[<h5>For the pastry:</h5>, <p>750g strong white bread flour, plus extra for dusting</p>, <p>2 tsp hot chilli powder </p>, <p>2 tsp salt</p>, <p>200g lard</p>, <p>35g margarine</p>, <p>1 large egg yolk</p>, <p>245ml chilled water</p>, <p>1 egg, beaten, to seal and glaze</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200905_018B_AlooGobiPaneerPasties-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Mark-100x100.jpg
Mark’s Gimme S’more Brownies,Mark,10,Easy,1 hr,35 mins,"[<h5>For the brownie mixture:</h5>, <p>140g unsalted butter </p>, <p>115g 70% dark chocolate chips </p>, <p>1 tsp espresso powder </p>, <p>150g light brown soft sugar </p>, <p>100g caster sugar</p>, <p>½ tsp vanilla extract paste</p>, <p>3 eggs </p>, <p>½ tsp salt</p>, <p>40g cocoa powder </p>, <p>60g plain flour </p>, <p>50g white chocolate chunks</p>, <p>50g milk chocolate chunks </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200905_017B_GimmeSmore-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Mark-100x100.jpg
Hermine’s Smoked Salmon & Chive Soda Bread,Hermine,1 loaf,Easy,40 mins,35-40 mins,"[<h5>For the bread:</h5>, <p>200g plain flour</p>, <p>2 tbsp plain wholemeal flour </p>, <p>2 tbsp spelt flour </p>, <p>½ tsp baking powder </p>, <p>1 tsp bicarbonate of soda </p>, <p>½ tsp cream of tartar </p>, <p>2 tbsp porridge oats </p>, <p>3 tsp onion powder </p>, <p>30g salted butter, chilled </p>, <p>120g smoked salmon, very finely chopped</p>, <p>50g gruyère cheese, grated</p>, <p>15g chives, finely snipped</p>, <p>Good pinch of freshly ground black pepper </p>, <p>1 large egg </p>, <p>160ml buttermilk</p>, <p>1 tbsp runny honey </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200904_011B_SmokedSalmonSodaBread.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-100x100.jpg
Mark’s Stout & Chocolate Soda Bread,Mark,1 large loaf,Easy,30 mins,30-40 mins,"[<h5>For the bread:</h5>, <p>50g unsalted butter </p>, <p>50g runny honey </p>, <p>80g light muscovado sugar</p>, <p>150ml stout </p>, <p>250g plain flour </p>, <p>250g coarse brown bread flour </p>, <p>30g unsweetened cocoa powder </p>, <p>2 tsp bicarbonate of soda </p>, <p>1 tsp salt</p>, <p>150g 70% dark chocolate chunks </p>, <p>200ml buttermilk </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/10/200904_014B_GuinessChocolateSodaBread-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Mark-100x100.jpg
"Marc’s Ginger, Cherry & Pistachio Florentines",Marc,16,Needs skill,1 hr,18 mins,"[<h5>For the florentines:</h5>, <p>100g flaked almonds </p>, <p>65g pistachios, roughly chopped</p>, <p>75g unsalted butter</p>, <p>30g acacia honey</p>, <p>115g demerara sugar</p>, <p>40g plain flour</p>, <p>40ml double cream </p>, <p>Good pinch of salt</p>, <p>100g candied mixed peel, finely chopped </p>, <p>130g dried cherries</p>, <p>35g glacé ginger, finely chopped </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/200903_009_GingerCherryPistachioFlorentines.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Marc-100x100.jpg
Lottie’s Quarantine Florentines for Nana & Papa,Lottie,18,Needs skill,1 hr,8 - 10 mins,"[<h5>For the florentines:</h5>, <p>40g pistachios </p>, <p>60g dried sour cherries </p>, <p>60g crystallised ginger</p>, <p>20g plain flour </p>, <p>30g coconut flakes</p>, <p>120g flaked almonds </p>, <p>70g salted butter</p>, <p>120g light muscovado sugar </p>, <p>Pinch of salt </p>, <p>2 tbsp double cream</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/200903_008_QuarantineFlorentines-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Lottie1-100x100.jpg
"Laura’s Milk Chocolate, Salted Caramel & Pecan Florentines",Laura,30,Easy,1 hr,12 mins,"[<h5>For the florentines:</h5>, <p>95g flaked almonds</p>, <p>75g pecans, finely chopped </p>, <p>55g candied mixed peel, finely chopped </p>, <p>75g flame raisins, chopped </p>, <p>20g plain flour</p>, <p>45g unsalted butter </p>, <p>75g light brown soft sugar</p>, <p>55g golden syrup</p>, <p>½ tsp fine sea salt </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/200903_010A_SaltedCaramelPecanFlorentines.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Peter’s Gluten-free Chocolate Orange Battenberg,Peter,8,Needs skill,1 hr 45 mins,25 mins,"[<h5>For the orange sponge:</h5>, <p>1 small, thin-skinned orange or 2 mandarins<br/>
2 eggs<br/>
65g caster sugar<br/>
35ml olive oil<br/>
¼ tsp orange food-colouring gel<br/>
65g ground almonds<br/>
25g gluten-free plain flour<br/>
¾ tsp gluten-free baking powder</p>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/GF-Chocolate-Orange-Battenberg.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
Mak’s East India Battenberg,Mak,12,Needs skill,1 hr 45 mins,20 - 25 mins,"[<h5>For the sponge:</h5>, <p>150g vegetable margarine spread<br/>
150g golden caster sugar<br/>
3 large eggs<br/>
150g self-raising flour<br/>
75g fine semolina<br/>
1 tsp baking powder<br/>
20ml whole milk<br/>
Finely grated zest of ½ unwaxed orange<br/>
¼ tsp orange food-colouring gel<br/>
½ tsp mixed spice<br/>
½ tsp ground ginger<br/>
50g drained stem ginger, finely chopped</p>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/East-India-Battenberg-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Mak-100x100.jpg
Dave’s Chocolate Espresso Martini Battenberg,Dave,8-10,Needs skill,1 hr 45 mins,35 mins,"[<h5>For the sponge:</h5>, <p>180g unsalted butter<br/>
180g golden caster sugar<br/>
3 eggs, lightly beaten<br/>
150g self-raising flour<br/>
55g ground almonds<br/>
½ tsp baking powder<br/>
2 tbsp vodka<br/>
10g cocoa powder, sifted<br/>
2 tbsp coffee liqueur </p>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>, <br/>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Chocolate-Espresso-Martini-Battenberg.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
Yan’s Christmas Memories Cake Pops,Yan,20,Easy,1 hr 30 mins,15 mins,"[<h5>For the chocolate sponge:</h5>, <p>100g unsalted butter </p>, <p>100g 70% dark chocolate </p>, <p>1 tsp instant coffee powder</p>, <p>1 tsp vanilla essence</p>, <p>100g light brown soft sugar </p>, <p>2 small eggs </p>, <p>90ml soured cream</p>, <p>100g self-raising flour </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Christmas_Past_Cake_Pops_1024-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Yan-928_l-100x100.jpg
Terry’s Penguin & Snowmen Cake Pops,Terry,24,Needs skill,1 hr 30 mins,15 mins,"[<h5>For the sponge:</h5>, <p>85g salted butter, softened</p>, <p>100g caster sugar</p>, <p>2 small egg whites</p>, <p>120g plain flour</p>, <p>½ tsp baking power</p>, <p>½ tsp vanilla extract</p>, <p>pinch of ground nutmeg</p>, <p>90ml advocaat</p>, <p>30ml whole milk</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Carousel_Cake_Pops_1024_2-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-11-100x100.jpg
Steph’s Black Forest Chocolate Cake,Steph,16,Easy,1 hr 30 mins,35 mins,"[<h5>For the sponges:</h5>, <p>200g unsalted butter</p>, <p>200g 56% dark chocolate </p>, <p>5g instant espresso powder</p>, <p>110g plain flour, sifted </p>, <p>110g self-raising flour, sifted </p>, <p>25g cocoa</p>, <p>¼ tsp bicarbonate of soda </p>, <p>200g light muscovado sugar </p>, <p>200g golden caster sugar </p>, <p>3 large eggs </p>, <p>100ml buttermilk </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Black_Forest_Choc_Cake_1024x450_3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-100x100.jpg
Rosie’s Filled Sablée Pastry Shells,Rosie,9,Challenging,"3 hrs, plus chilling",17 mins,"[<h5>For the sablée pastry:</h5>, <p>125g unsalted butter, softened</p>, <p>125g caster sugar</p>, <p>pinch of salt</p>, <p>250g plain flour, sifted</p>, <p>1 egg</p>, <p>½ tsp baking powder</p>, <p>½ tsp vanilla extract</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Sablee_Pastry_Shells_1024x450_3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
Henry’s Tomato & New Potato Tarte Tatin with Crab Salad,Henry,4–6,Needs skill,1 hr 30 mins,1 hr 15 mins,"[<h5>For the rough puff pastry:</h5>, <p>175g very cold unsalted butter</p>, <p>250g plain flour, sifted</p>, <p>½ tsp dried basil</p>, <p>pinch of salt</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Crab_Tomato_Tart_Tatin_1024x450_1.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-100x100.jpg
Henry’s Chocolate Kardemummabullar,Henry,12,Challenging,"3 hrs, plus rising and proving",15 mins,"[<h5>For the dough:</h5>, <p>35g unsalted butter, softened </p>, <p>35g extra-virgin olive oil</p>, <p>425g strong white bread flour </p>, <p>5g salt</p>, <p>2 tsp ground cardamom</p>, <p>45g runny honey </p>, <p>10g fast-action dried yeast </p>, <p>1 egg</p>, <p>187g whole milk </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Kardemummabullar_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-100x100.jpg
Steph’s Zest & Spice Hot Cross Buns,Steph,24,Easy,"45 mins, plus rising and proving",20 mins,"[<h5>For the dough:</h5>, <p>520ml whole milk </p>, <p>900g strong white bread flour, sifted</p>, <p>135g golden caster sugar </p>, <p>4 tsp ground cinnamon </p>, <p>1½ tsp mixed spice</p>, <p>2 tsp salt </p>, <p>20g fast-action dried yeast </p>, <p>2 eggs </p>, <p>100g unsalted butter, softened </p>, <p>200g sultanas</p>, <p>80g dried cranberries </p>, <p>100g mixed peel</p>, <p>finely grated zest of 2 small unwaxed oranges </p>, <p>finely grated zest of 2 unwaxed lemons </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Hot_Cross_Buns_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-100x100.jpg
"Rosie’s Salted Caramel, Chocolate & Raspberry Stack",Rosie,8–12,Needs skill,1 hr 40 mins,1 hr 30 mins,"[<h5>For the salted caramel sauce:</h5>, <p>50g caster sugar</p>, <p>1 teaspoon lemon juice </p>, <p>15g unsalted butter</p>, <p>3 tbsp double cream</p>, <p>1 teaspoon fine sea salt</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/10/Still-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
David’s Fancy Custards,David,6,Needs skill,1 hr 45 mins,50 mins,"[<h5>For the pastry:</h5>, <p>325g plain flour </p>, <p>pinch of salt</p>, <p>100g icing sugar, sifted</p>, <p>180g cold unsalted butter, diced </p>, <p>1 egg yolk</p>, <p>1 tsp cornflour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/david-fancy-tarts-forweb-S10E04.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-David-1080-100x100.jpg
"Michael’s Mango, Lime & Ginger Tarts",Michael,6,Challenging,"1 hr 45 mins, plus chilling",50 mins,"[<h5>For the pastry cases:</h5>, <p>150g plain flour, sifted</p>, <p>2½ tsp ground ginger</p>, <p>pinch of salt</p>, <p>75g cold unsalted butter, diced</p>, <p>50g icing sugar, sifted </p>, <p>1 large egg yolk</p>, <p>1 egg white, beaten</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Mango-Lime-Tarts-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michael-1080-100x100.jpg
Steph’s Raspberry & Chocolate Fudge Cake,Steph,12,Easy,1 hr,1 hr 15 mins,"[<h5>For the sponge:</h5>, <p>200g unsalted butter </p>, <p>200g 56% dark chocolate, roughly chopped</p>, <p>5g instant espresso coffee dissolved in 100ml hot water </p>, <p>110g plain flour </p>, <p>110g self-raising flour </p>, <p>25g cocoa </p>, <p>¼ tsp bicarbonate of soda </p>, <p>200g light muscovado sugar </p>, <p>200g golden caster sugar </p>, <p>3 large eggs</p>, <p>100ml buttermilk </p>, <p>180g fresh or frozen raspberries </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Raspberry-and-Chocolate-Fudge-Cake-1024x450-2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-100x100.jpg
Rosie’s Limoncello & Basil Cake,Rosie,12,Easy,45 mins,1 hr,"[<h5>For the sponge:</h5>, <p>250g unsalted butter, softened</p>, <p>360g caster sugar</p>, <p>4 large eggs, beaten</p>, <p>360g self-raising flour, sifted</p>, <p>1½ tsp baking powder</p>, <p>30 basil leaves, very finely chopped </p>, <p>4 tbsp limoncello </p>, <p>1 tsp lemon extract </p>, <p>finely grated zest of 4 unwaxed lemons</p>, <p>pinch of salt </p>, <p>200ml soured cream</p>, <p>100ml buttermilk</p>, <p>dried rose petals, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Limoncello-and-Basil-Cake-1024x450-3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
Priya’s Banana & Chocolate Cake,Priya,12,Easy,35 mins,1 hr,"[<h5>For the sponge:</h5>, <p>200g unsalted butter, softened</p>, <p>225g light brown soft sugar</p>, <p>2 large eggs, beaten</p>, <p>3 large ripe bananas (about 380g peeled weight), well mashed</p>, <p>1 tsp vanilla extract </p>, <p>150g set natural yogurt </p>, <p>250g plain flour, sifted</p>, <p>1 tsp bicarbonate soda</p>, <p>2 tbsp cocoa powder</p>, <p>2 tbsp whole milk </p>, <p>100g dark chocolate chips </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Banana-and-Chocolate-Cake-1024x450-3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Priya-1080-100x100.jpg
Henry’s Apple & Cinnamon Streusel Cake,Henry,16,Easy,50 mins,2 hrs,"[<h5>For the sponge:</h5>, <p>4 jazz apples, peeled, cored and cut into 5mm dice</p>, <p>1 tbsp lemon juice </p>, <p>380g self-raising flour</p>, <p>½ tsp baking powder</p>, <p>4 tsp ground cinnamon</p>, <p>1 tsp ground nutmeg</p>, <p>1 tsp ground ginger</p>, <p>½ tsp ground cloves</p>, <p>100g golden caster sugar</p>, <p>125g light muscovado sugar</p>, <p>125g dark muscovado sugar</p>, <p>1 tbsp vanilla paste</p>, <p>3 eggs</p>, <p>280ml vegetable oil </p>, <p>140g set natural yogurt</p>, <p>200g pecans, roughly chopped</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Apple-and-Cinnamon-Streusel-1024x450-3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-100x100.jpg
David’s Cinnamon Swirls,David,8,Needs skill,"1 hr 15 mins, plus rising and proving",20 mins,"[<h5>For the dough:</h5>, <p>15g instant yeast</p>, <p>500g strong white bread flour</p>, <p>30g light brown soft sugar</p>, <p>1 tsp salt</p>, <p>80g finely grated carrot </p>, <p>1 tsp ground cardamom </p>, <p>finely grated zest of 2 unwaxed lemons</p>, <p>40g unsalted butter, softened</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Cinnamon-Swirls-1024x450-1.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-David-1080-100x100.jpg
Michael’s Keralan Star Bread,Michael,8,Challenging,"1 hr, plus rising and proving","25 mins, plus 35 mins for the chutney","[<h5>For the dough:</h5>, <p>500g very strong white bread flour</p>, <p>10g fast-action dried yeast </p>, <p>10g salt</p>, <p>2 tsp ground paprika</p>, <p>2 tsp ground coriander</p>, <p>1 tsp hot chilli powder </p>, <p>1 tsp crushed chilli flakes </p>, <p>30ml extra-virgin coconut oil </p>, <p>red food-colouring gel or paste</p>, <p>1 egg, beaten with a pinch of salt</p>, <p>3 tsp nigella seeds</p>, <p>handful of coriander leaves, chopped</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Keralan-Star-Bread-1024x450-4.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michael-1080-100x100.jpg
